YearMonth,YearNbr,MonthNbr,LocationId,LocationName,EmployeeId,Title,StaffMember,TotalSales,BonusPaid,GrossWages,HealthPlanPaid,ParkingSubsPaid,TransportSubsPaid,TrainingSubsPaid,EmployerPensionPaid
20151,2015,1,600,Head Office,5000,CEO,Geoff M Bates ,0,0,7000,0,0,0,0,0
20151,2015,1,304,Saint Petersburg Discount Store,14,Sales Specialist,Miguel Saenz,16051.94,321.0388,3561.25,53.4188,,25,25,267.0938
20151,2015,1,305,Nizhny Novgorod Discount Store,15,Sales Specialist,Kim Akers,13471.724,229.019308,3128.125,46.9219,,25,25,234.6094
20151,2015,1,302,Taipei  Discount Store,24,Sales Specialist,Ming-Yang Xie,47856.264,813.556488,3371.875,50.5781,,25,25,252.8906
20151,2015,1,303,Lisbon Discount Store,25,Sales Specialist,Antonio Alwan,7393.12,125.68304,3371.875,50.5781,,25,25,252.8906
20151,2015,1,1,Seattle No.1 Discount Store,35,Sales Specialist,Roy Antebi,10391.5,176.6555,3250,48.75,,25,25,243.75
20151,2015,1,3,Kennewick Discount Store,36,Sales Specialist,Prithvi Raj,7330.05,124.61085,3250,48.75,,25,25,243.75
20151,2015,1,4,Bellevue Discount Store,37,Sales Specialist,Luca Argentiero,25267.652,505.35304,3700,55.5,,25,25,277.5
20151,2015,1,5,Redmond Discount Store,38,Sales Specialist,Suriya Sajjateerakool,3832.6435,84.318157,4200,63,,25,25,315
20151,2015,1,6,Yakima Discount Store,39,Sales Specialist,Zainal Arifin,4879.8225,107.356095,4200,63,,25,25,315
20151,2015,1,7,Granger Discount Store,40,Sales Specialist,Amy Strande,16350.4,359.7088,4200,63,,25,25,315
20151,2015,1,8,Sunnyside Discount Store,41,Sales Specialist,Ties Arts,5732.963,97.460371,3250,48.75,,25,25,243.75
20151,2015,1,9,Toppenish Discount Store,42,Sales Specialist,Daniel Taylor,6009.0705,132.199551,4200,63,,25,25,315
20151,2015,1,10,Wapato Discount Store,43,Sales Specialist,Ronen Ashkenazi,8107.522,178.365484,4200,63,,25,25,315
20151,2015,1,11,Cle Elum Discount Store,44,Sales Specialist,Hans-Walter Untch,7762.621,131.964557,3250,48.75,,25,25,243.75
20151,2015,1,12,North Bend Discount Store,45,Sales Specialist,Chris Ashton,19069.138,419.521036,4200,63,,25,25,315
20151,2015,1,13,Snoqualmie Discount Store,46,Sales Specialist,Michael Vanderhyde,30754.934,676.608548,4200,63,,25,25,315
20151,2015,1,14,Fall City Discount Store,47,Sales Specialist,Vivian Atlas,11313.402,226.26804,3700,55.5,,25,25,277.5
20151,2015,1,15,Renton Discount Store,48,Sales Specialist,Robin Wakefield,7928.264,174.421808,4200,63,,25,25,315
20151,2015,1,16,Everett Discount Store,49,Sales Specialist,Anahita Bahrami,15115.112,332.532464,4200,63,,25,25,315
20151,2015,1,18,Veradale Discount Store,50,Sales Specialist,Pieter Wycoff,6590.7005,112.0419085,3250,48.75,,25,25,243.75
20151,2015,1,19,Cheney Discount Store,51,Sales Specialist,Dev Balasubramanian,17182.576,292.103792,3250,48.75,,25,25,243.75
20151,2015,1,20,Englewood Discount Store,52,Sales Specialist,Steven Wright,5019.097,85.324649,3250,48.75,,25,25,243.75
20151,2015,1,22,Westminster Discount Store,54,Sales Specialist,Eiji Yasuda,3524.3,59.9131,3250,48.75,,25,25,243.75
20151,2015,1,23,Grand Junction Discount Store,55,Sales Specialist,Ed Banti,10375.5315,228.261693,4200,63,,25,25,315
20151,2015,1,24,New Castle Discount Store,56,Sales Specialist,Mrina Natarajan,10608.575,233.38865,4200,63,,25,25,315
20151,2015,1,25,Greeley  No.1 Discount Store,57,Sales Specialist,Dave Barnett,15458.0465,309.16093,3700,55.5,,25,25,277.5
20151,2015,1,26,Loveland Discount Store,58,Sales Specialist,Manuel Oliveira,13766.245,302.85739,4200,63,,25,25,315
20151,2015,1,27,Lafayette Discount Store,59,Sales Specialist,Adam Barr,18909.8,321.4666,3250,48.75,,25,25,243.75
20151,2015,1,28,Castle Rock Discount Store,60,Sales Specialist,Rok Palcic,8998.85,197.9747,4200,63,,25,25,315
20151,2015,1,29,Sedalia Discount Store,61,Sales Specialist,Shai Bassli,21428.7,364.2879,3250,48.75,,25,25,243.75
20151,2015,1,30,Fort Collins Discount Store,62,Sales Specialist,Yossi Ran,9513.4105,209.295031,4200,63,,25,25,315
20151,2015,1,32,Milliken Discount Store,63,Sales Specialist,Shaun Beasley,9256.52,157.36084,3250,48.75,,25,25,243.75
20151,2015,1,33,Berthoud Discount Store,64,Sales Specialist,Karolina Salas-Szlejter,1799.82,39.59604,4200,63,,25,25,315
20151,2015,1,34,Denver No.1 Discount Store,65,Area Manager,Anna Bedecs,12115.92,284.72412,5500,82.5,35,,25,467.5
20151,2015,1,21,Wheat Ridge Discount Store,66,Sales Specialist,Oliver Szimmetat,13604.11,299.29042,4200,63,,25,25,315
20151,2015,1,38,Thornton Discount Store,67,Sales Specialist,Ann Beebe,14257.947,313.674834,4200,63,,25,25,315
